t,ee_x,ee_y,ee_z,ee_err,manipulability,qp_solve_ms,qp_status,q0,q1,q2,q3,q4,q5,q6,qd0,qd1,qd2,qd3,qd4,qd5,qd6,dist_s0,dist_s1
6.409999999999908,0.5971398239982013,-0.1949364169211456,0.03955908710491653,0.04572303818065699,0.11848026878907039,0.23970799884409644,ok,1.6850900612453301,-1.6536934654965114,-1.7113425567998957,-1.842235466592216,-1.7156131661863152,1.76004525147075,1.186203303574141,0.01825808533611017,-0.013417237618868982,-0.029290700591342266,0.0361785210707922,-0.02165410211284192,0.03459287225520838,-0.010899773794715531,0.4992210162157688,0.5822422742251385
6.419999999999908,0.5972032455888686,-0.19497829409157968,0.039377111889531496,0.0455423381171823,0.11847908066081148,0.05170799886400346,ok,1.6852726420986912,-1.6538276378727002,-1.711635463805809,-1.8418736813815082,-1.7158297072074435,1.760391180193302,1.186094305836194,0.01809971398358168,-0.013361455161177881,-0.029145738798557135,0.03590589647313212,-0.021557055024189024,0.03442705092183777,-0.010806412168843364,0.5010525837384706,0.5841035383086287
6.429999999999907,0.5972660645410423,-0.19501986585433742,0.039196023794274545,0.045362326606795816,0.11847782519177628,0.04895799975201953,ok,1.685453639238527,-1.653961252424312,-1.7119269211937946,-1.8415146224167769,-1.7160452777576853,1.7607354507025206,1.1859862417145055,0.01794256136604007,-0.013305800351190703,-0.029001674668361142,0.035635198599957514,-0.021460552438586765,0.03426212858134671,-0.010713753242529081,0.5028844587697878,0.5859654118846457
6.439999999999907,0.5973282859514154,-0.19506113442940556,0.03901581814787178,0.04518300143783152,0.11847650345391635,0.042875000872300006,ok,1.6856330648521876,-1.6540943104278238,-1.7122169379404784,-1.8411582704307774,-1.7162598832820712,1.761078071988334,1.1858791041820802,0.017786617877451786,-0.01325027936532475,-0.028858498181043832,0.03536641428270872,-0.021364593667491757,0.034098095534255204,-0.010621792533554851,0.5047166361272664,0.5878278899024153
6.449999999999907,0.5973899148737682,-0.19510210201999426,0.038836490305306656,0.045004360399458175,0.11847511650528604,0.2637090001371689,ok,1.6858109310309621,-1.654226813221477,-1.7125055229222887,-1.8408046062879504,-1.716473529218746,1.7614190529436766,1.1857728862567447,0.017631874015938916,-0.013194897968777519,-0.028716199606418965,0.03509953043498514,-0.02126917778214978,0.033934942442749895,-0.010530525554684892,0.5065491132163258,0.5896909673776801
6.459999999999907,0.5974509563193237,-0.195142770812667,0.03865803564768007,0.044826401281783806,0.11847366539021532,0.04887500108452514,ok,1.6859872497711215,-1.6543587622011648,-1.712792684918353,-1.8404536109836005,-1.7166862209965676,1.761758402368104,1.1856675810011978,0.01747832038101824,-0.013139661539245916,-0.02857476948978852,0.034834534052011396,-0.021174303630578244,0.033772660310507296,-0.010439947815621266,0.5083818866252447,0.5915546393914128
6.4699999999999065,0.5975114152571016,-0.1951831429774684,0.038480449582074194,0.04464912187596752,0.1184721511394773,0.10683399887057021,ok,1.6861620329749316,-1.6544901588165573,-1.7130784326132509,-1.8401052656430803,-1.7168979640328734,1.7620961289712092,1.1855631815230416,0.017325947671006075,-0.013084575089210617,-0.028434198638733237,0.03457141221012399,-0.02107996985348413,0.03361124046374326,-0.010350054824815958,0.5102149529976208,0.5934189010885699
6.479999999999906,0.5975712966142712,-0.19522322066805162,0.03830372754141226,0.044472519974320036,0.11847057477045884,0.04470800013223197,ok,1.6863352924516417,-1.6546210045674494,-1.7133627745996383,-1.839759551520979,-1.7171087637314082,1.7624322413758466,1.1854596809747935,0.01717474668052819,-0.013029643286950863,-0.02829447811059934,0.03431015206627639,-0.020986174899226637,0.03345067453333258,-0.010260842091203511,0.512048309012419,0.5952837476768824
6.489999999999906,0.597630605276499,-0.19526300602180546,0.03812786498432222,0.0442965933704102,0.11846893728732259,0.11566700050025247,ok,1.686507039918447,-1.654751301000319,-1.7136457193807442,-1.8394164500003163,-1.7173186254804005,1.76276674812118,1.1853570725538813,0.017024708298157196,-0.012974870476411575,-0.028155599200662972,0.034050740857547834,-0.020892917037949738,0.033290954437945455,-0.01017230512580441,0.513881951394264,0.5971491744256832
6.499999999999906,0.5976893460882963,-0.19530250115997946,0.037952857394998346,0.04412133985916328,0.11846723968117256,0.1539169988973299,ok,1.6866772870014286,-1.654881049705083,-1.7139272753727508,-1.839075942591741,-1.71752755465078,1.7630996576655593,1.1852553495026232,0.016875823504151868,-0.012920260695847388,-0.02801755343097195,0.03379316590067484,-0.0208001943747921,0.033132072368208636,-0.010084439443258049,0.5157158769104178,0.5990151766647671
