t,ee_x,ee_y,ee_z,ee_err,manipulability,qp_solve_ms,qp_status,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,dist_s0,dist_s1
7.25999999999989,0.38919405739907015,-0.45260721610709836,0.4551501417786011,0.11629699527687473,0.09241312537087111,0.04404099854582455,ok,-1.0536952674743052,-1.3539533748655934,1.296295179837993,-1.6190136722011386,-1.5050465360041012,-1.0473152126543093,0.03873397932612864,-0.009777406832411666,0.08877606416782054,-0.028238427625457065,-0.03753087622607869,0.03523655133099747,0.05468274954775923,0.17844067985612772
7.269999999999889,0.38931335702242187,-0.45242038540905277,0.45479553179459153,0.11566714945319272,0.09243562229968717,0.043792000724351965,ok,-1.053307927681044,-1.3540511489339175,1.297182940479671,-1.619296056477393,-1.505421844766362,-1.0469628471409993,0.038542920707145704,-0.00968095290538829,0.08808427402580782,-0.02786951024417778,-0.03729982725605346,0.0350670489489415,0.056346221471200345,0.17968980976461224
7.279999999999889,0.38943194754593435,-0.4522343159311051,0.4544434219879764,0.1150408793882613,0.09245783652124276,0.04329200055508409,ok,-1.0529224984739725,-1.3541479584629714,1.298063783219929,-1.6195747515798349,-1.5057948430389225,-1.04661217665151,0.038352678117865545,-0.00958723755504741,0.08740096947635531,-0.027505517977859092,-0.0370703147201928,0.0348982043203699,0.058008885348504916,0.18094153103536859
7.289999999999889,0.3895498303287727,-0.4520490014058369,0.4540937916039554,0.11441816248805245,0.09247977153445787,0.18195799930253997,ok,-1.0525389716927938,-1.3542438308385218,1.2989377929146926,-1.6198498067596134,-1.5061655461861245,-1.0462631946083063,0.03816325043508192,-0.009496199343576865,0.08672601433089895,-0.027146376762683812,-0.03684232816023948,0.03473001764387581,0.05967073988972017,0.1821958181615146
7.299999999999889,0.3896670067770206,-0.45186443567109463,0.45374662011043165,0.11379897633880108,0.09250143077932796,0.16925000090850517,ok,-1.052157339188443,-1.3543387928319577,1.2998050530580016,-1.6201212705272403,-1.5065339694677269,-1.0459158944318676,0.037974636473274814,-0.009407778167932692,0.0860592750448236,-0.026792013878820915,-0.036615857175202104,0.03456248904639429,0.06133179134400188,0.18345262825923747
7.309999999999889,0.38978347834234817,-0.45168061266777204,0.45340188719473584,0.11318329870484692,0.09252281763826938,0.08737499956623651,ok,-1.05177759282371,-1.354432870613637,1.3006656458084498,-1.6203891906660286,-1.506900128039479,-1.0455702695414038,0.03778683498666181,-0.009321915227858328,0.08540062065580936,-0.026442357920131086,-0.036390891421587114,0.03439561858521409,0.06299205332993632,0.184711910697481
7.319999999999888,0.3898992465207116,-0.4514975264376428,0.453059572760418,0.11257110752651492,0.09254393543742616,0.09516699901723769,ok,-1.0513997244738436,-1.3545260897659157,1.3015196520150079,-1.62065361424523,-1.5072640369536947,-1.0452263133555517,0.037599844671180674,-0.009238552994783288,0.08474992272386063,-0.026097338764677673,-0.03616742061360024,0.03422940624992346,0.06465152439472822,0.1859736334613185
7.329999999999888,0.39001431285108495,-0.4513151711212456,0.45271965692409943,0.11196238091803515,0.09256478744794203,0.13845799912814982,ok,-1.0510237260271318,-1.3546184752958634,1.3023671512422466,-1.6209145876328768,-1.5076257111598308,-1.0448840192930524,0.037413664166425234,-0.009157635181581695,0.08410705527303303,-0.025756887546091827,-0.035945434523335006,0.03406385196431588,0.06631021052624055,0.18723775655624875
7.339999999999888,0.3901286789142197,-0.4511335409558176,0.45238212001238814,0.11135709716550442,0.09258537688719554,0.1111250003305031,ok,-1.0506495893854675,-1.3547100516476793,1.303208221794977,-1.6211721565083377,-1.5079851655050642,-1.0445433807734092,0.03722829205751752,-0.00907910671316244,0.08347189473471843,-0.02542093662566493,-0.03572492298093441,0.03389895558823546,0.0679681249864972,0.18850424090224815
7.349999999999888,0.3902423463314358,-0.4509526302732764,0.4520469425588519,0.11075523472488207,0.09260570692000285,0.09462500020163134,ok,-1.0502773064648923,-1.354800842714811,1.3040429407423242,-1.6214263658745944,-1.5083424147348736,-1.044204391217527,0.03704372687693195,-0.009002913697867779,0.08284431989252154,-0.02508941956524515,-0.035505875874738184,0.03373471691937929,0.06962526617268634,0.1897730566903505
